Date,ContentDomain,Volume Per Date
2026-05-12 00:00:00,Asana,2
2026-05-13 00:00:00,Asana,1
2026-05-15 00:00:00,Asana,1
2026-05-08 00:00:00,AzureDevOps,2
2026-05-10 00:00:00,AzureDevOps,11
2026-05-11 00:00:00,AzureDevOps,77
2026-05-12 00:00:00,AzureDevOps,122
2026-05-13 00:00:00,AzureDevOps,139
2026-05-14 00:00:00,AzureDevOps,179
2026-05-15 00:00:00,AzureDevOps,167
2026-05-16 00:00:00,AzureDevOps,9
2026-05-11 00:00:00,AzureWiki,2
2026-05-12 00:00:00,AzureWiki,15
2026-05-13 00:00:00,AzureWiki,16
2026-05-14 00:00:00,AzureWiki,20
2026-05-15 00:00:00,AzureWiki,11
2026-05-16 00:00:00,AzureWiki,1
2026-05-07 00:00:00,Confluence,2
2026-05-08 00:00:00,Confluence,20
2026-05-09 00:00:00,Confluence,8
2026-05-10 00:00:00,Confluence,14
2026-05-11 00:00:00,Confluence,220
2026-05-12 00:00:00,Confluence,395
2026-05-13 00:00:00,Confluence,475
2026-05-14 00:00:00,Confluence,565
2026-05-15 00:00:00,Confluence,560
2026-05-16 00:00:00,Confluence,73
2026-05-13 00:00:00,FreshService,1
2026-05-14 00:00:00,FreshService,1
2026-05-15 00:00:00,FreshService,1
2026-05-15 00:00:00,GitHubCloudPullRequests,1
2026-05-11 00:00:00,Gong,1
2026-05-12 00:00:00,Gong,5
2026-05-13 00:00:00,Gong,4
2026-05-14 00:00:00,Gong,10
2026-05-15 00:00:00,Gong,7
2026-05-11 00:00:00,GoogleDrive,1
2026-05-08 00:00:00,Intranet,6
2026-05-09 00:00:00,Intranet,5
2026-05-10 00:00:00,Intranet,1
2026-05-11 00:00:00,Intranet,47
2026-05-12 00:00:00,Intranet,57
2026-05-13 00:00:00,Intranet,89
2026-05-14 00:00:00,Intranet,91
2026-05-15 00:00:00,Intranet,85
2026-05-16 00:00:00,Intranet,6
2026-05-07 00:00:00,Jira,1
2026-05-08 00:00:00,Jira,6
2026-05-09 00:00:00,Jira,9
2026-05-10 00:00:00,Jira,7
2026-05-11 00:00:00,Jira,101
2026-05-12 00:00:00,Jira,169
2026-05-13 00:00:00,Jira,204
2026-05-14 00:00:00,Jira,233
2026-05-15 00:00:00,Jira,204
2026-05-16 00:00:00,Jira,23
2026-05-11 00:00:00,JiraOnPremise,12
2026-05-12 00:00:00,JiraOnPremise,27
2026-05-13 00:00:00,JiraOnPremise,10
2026-05-14 00:00:00,JiraOnPremise,35
2026-05-15 00:00:00,JiraOnPremise,22
2026-05-16 00:00:00,JiraOnPremise,1
2026-05-13 00:00:00,Monday,1
2026-05-15 00:00:00,Monday,1
2026-05-11 00:00:00,SalesForce,1
2026-05-12 00:00:00,SalesForce,3
2026-05-13 00:00:00,SalesForce,6
2026-05-14 00:00:00,SalesForce,3
2026-05-15 00:00:00,SalesForce,6
2026-05-11 00:00:00,ServiceNowCatalog,1
2026-05-12 00:00:00,ServiceNowCatalog,1
2026-05-13 00:00:00,ServiceNowCatalog,1
2026-05-15 00:00:00,ServiceNowCatalog,1
2026-05-16 00:00:00,ServiceNowCatalog,1
2026-05-07 00:00:00,ServiceNowKB,2
2026-05-08 00:00:00,ServiceNowKB,8
2026-05-09 00:00:00,ServiceNowKB,3
2026-05-10 00:00:00,ServiceNowKB,9
2026-05-11 00:00:00,ServiceNowKB,55
2026-05-12 00:00:00,ServiceNowKB,91
2026-05-13 00:00:00,ServiceNowKB,93
2026-05-14 00:00:00,ServiceNowKB,87
2026-05-15 00:00:00,ServiceNowKB,72
2026-05-16 00:00:00,ServiceNowKB,7
2026-05-06 00:00:00,ServiceNowTickets,1
2026-05-08 00:00:00,ServiceNowTickets,1
2026-05-09 00:00:00,ServiceNowTickets,1
2026-05-10 00:00:00,ServiceNowTickets,1
2026-05-11 00:00:00,ServiceNowTickets,11
2026-05-12 00:00:00,ServiceNowTickets,25
2026-05-13 00:00:00,ServiceNowTickets,49
2026-05-14 00:00:00,ServiceNowTickets,69
2026-05-15 00:00:00,ServiceNowTickets,57
2026-05-16 00:00:00,ServiceNowTickets,1
2026-05-11 00:00:00,SmartsheetSheet,6
2026-05-12 00:00:00,SmartsheetSheet,19
2026-05-13 00:00:00,SmartsheetSheet,9
2026-05-14 00:00:00,SmartsheetSheet,5
2026-05-15 00:00:00,SmartsheetSheet,6
2026-05-16 00:00:00,SmartsheetSheet,1
2026-05-14 00:00:00,StackOverflow,1
2026-05-14 00:00:00,Tableau,1
2026-05-15 00:00:00,Tableau,1
2026-05-06 00:00:00,ThirdParty,70
2026-05-07 00:00:00,ThirdParty,216
2026-05-08 00:00:00,ThirdParty,194
2026-05-09 00:00:00,ThirdParty,30
2026-05-10 00:00:00,ThirdParty,55
2026-05-11 00:00:00,ThirdParty,282
2026-05-12 00:00:00,ThirdParty,289
2026-05-13 00:00:00,ThirdParty,343
2026-05-14 00:00:00,ThirdParty,290
2026-05-15 00:00:00,ThirdParty,284
2026-05-16 00:00:00,ThirdParty,25
2026-05-08 00:00:00,Unily,1
2026-05-11 00:00:00,Unily,1
2026-05-12 00:00:00,Unily,6
2026-05-13 00:00:00,Unily,10
2026-05-14 00:00:00,Unily,17
2026-05-15 00:00:00,Unily,10
2026-05-16 00:00:00,Unily,4
2026-05-11 00:00:00,VeevaVaultQualityDocs,1
2026-05-14 00:00:00,VeevaVaultQualityDocs,1
2026-05-12 00:00:00,ZendeskHelpCenter,2
2026-05-13 00:00:00,ZendeskHelpCenter,1
2026-05-14 00:00:00,ZendeskHelpCenter,1
2026-05-15 00:00:00,ZendeskHelpCenter,2
2026-05-10 00:00:00,ZendeskTicket,2
2026-05-11 00:00:00,ZendeskTicket,3
2026-05-12 00:00:00,ZendeskTicket,9
2026-05-13 00:00:00,ZendeskTicket,14
2026-05-14 00:00:00,ZendeskTicket,29
2026-05-15 00:00:00,ZendeskTicket,12
